140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 121.1764705882353;178453.42623494667 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 
140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 64.70588235294117;616.3967183264423 
140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 102.3529411764706;26995.110552007027 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 
140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 
140.0;1178840.4139511404 140.58823529411765;900118.7973219707 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
138.82352941176472;597884.2857831385 140.58823529411765;900118.7973219707 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 
140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
